NCTId,Sponsor,Phase,Status,Countries,Interventions,Emerging_Modality
NCT02788461,London Health Sciences Centre Research Institute OR Lawson Research Institute of St. Joseph's,NA,ACTIVE_NOT_RECRUITING,,Chemoradiotherapy | Chemoradiotherapy with Integrated Boost Dose,No
NCT03878342,UNICANCER,NA,ACTIVE_NOT_RECRUITING,,Radiotherapy | No Radiotherapy,No
NCT04995042,"Jiangsu HengRui Medicine Co., Ltd.",PHASE1,COMPLETED,,SHR7280,No
NCT07193186,Fudan University,PHASE2,NOT_YET_RECRUITING,,Anlotinib and Benmelstobart,No
NCT06483386,Tianjin Medical University Cancer Institute and Hospital,PHASE2,NOT_YET_RECRUITING,,Pyrotinib and Subcutaneous preparation of trastuzumab combined with capecitabine,No
NCT01464086,"Gustave Roussy, Cancer Campus, Grand Paris",PHASE3,COMPLETED,,whole body MRI,No
NCT01172886,Sbarro Health Research Organization,,UNKNOWN,,,No
NCT05115786,HBI Solutions Inc.,,UNKNOWN,,,No
NCT04145973,Peking Union Medical College Hospital,,UNKNOWN,,,No
NCT00706069,Hellenic Oncology Research Group,PHASE1,COMPLETED,,Vinorelbine oral | Capecitabine,No
NCT07346469,Kaohsiung Medical University Chung-Ho Memorial Hospital,NA,NOT_YET_RECRUITING,,oral magnesium ions | oral magnesium ions and warm water with Gu Bao Sapindus mukorossi magnesium ion solution,No
NCT00707083,"Prince of Wales Hospital, Shatin, Hong Kong",PHASE3,COMPLETED,,dexamethasone | mercaptopurine | methotrexate | vincristine sulfate,No
NCT04643041,"Sixth Affiliated Hospital, Sun Yat-sen University",NA,RECRUITING,,watch and wait,No
NCT02395705,Henan Cancer Hospital,PHASE3,COMPLETED,,cisplatin and paclitaxel,No
NCT04004494,Ruijin Hospital,NA,COMPLETED,,3D reconstruction,No
NCT06441994,Osaka University,PHASE1,RECRUITING,,PSW-1025,No
NCT00885066,Centre Antoine Lacassagne,PHASE1,COMPLETED,,capecitabine | erlotinib hydrochloride | gemcitabine hydrochloride,No
NCT05072522,"CSPC ZhongQi Pharmaceutical Technology Co., Ltd.",PHASE1,UNKNOWN,,SKLB1028,No
NCT04972422,Zentera Therapeutics HK Limited,PHASE1,UNKNOWN,,ZN-c3,No
NCT05873231,Medical University of Graz,,RECRUITING,,,No
NCT01098331,University of Southampton,NA,TERMINATED,,Radical Prostatectomy | Brachytherapy,No
NCT01497002,University of Leipzig,PHASE3,COMPLETED,,Cytarabine | human stem cells,No
NCT00856102,University of Manitoba,NA,COMPLETED,,Exercise | Control,No
NCT04812002,Women's Hospital School Of Medicine Zhejiang University,PHASE2,RECRUITING,,PD-1 inhibitor， bevacizumab,No
NCT04743102,Beijing Chao Yang Hospital,NA,RECRUITING,,multi-points and full-thickness Biopsy | traditional cCR,No
NCT00354302,NCIC Clinical Trials Group,PHASE3,COMPLETED,,calcium carbonate | calcium citrate | cholecalciferol | alendronate sodium | calcium gluconate | risedronate sodium | laboratory biomarker analysis | dual x-ray absorptometry,No
NCT06451302,Yizhuo Zhang,NA,ACTIVE_NOT_RECRUITING,,"cyclophosphamide, adriamycin, vincristine，Ifosfamide，etoposide",No
NCT06452602,Tianjin Medical University Cancer Institute and Hospital,PHASE2,RECRUITING,,Induction immunochemotherapy followed by Adebrelimab plus concurrent chemoradiotherapy | Induction immunochemotherapy followed by concurrent chemoradiotherapy,No
NCT00180102,Technische Universität Dresden,PHASE4,COMPLETED,,Cytarabine vs. Cytarabine+Amsacrine+Mitoxantrone | early allogeneic PBSCT within induction therapy | autologous PBSCT,No
NCT04116502,University of Birmingham,PHASE3,RECRUITING,,Ruxolitinib | Hydroxycarbamide | Interferon-Alpha,No
NCT05610202,"Chia Tai Tianqing Pharmaceutical Group Co., Ltd.",PHASE1,UNKNOWN,,TQB3702 tablets,No
NCT01877902,Fundación Pública Andaluza Progreso y Salud,,UNKNOWN,,,No
NCT07240753,Lili,,NOT_YET_RECRUITING,,Postoperative pathological examination confirmed cervical large cell neuroendocrine carcinoma.,No
NCT06129253,International Vaccine Institute,,RECRUITING,,Urine Sample Collection | Self-collected Vaginal Swab | Blood Samples,No
NCT05220345,Radboud University Medical Center,NA,COMPLETED,,colonoscopy assisted by both balloon-Behind The Folds visualizing and Computer assisted detection (CADe),No
NCT01460745,"Merck KGaA, Darmstadt, Germany",,COMPLETED,,,No
NCT05631080,Mansoura University,PHASE4,UNKNOWN,,Anatomical Endoscpic enucleation of the Prostate,No
NCT06961188,"Changchun GeneScience Pharmaceutical Co., Ltd.",PHASE3,NOT_YET_RECRUITING,,Nano-crystalline Megestrol Acetate Oral Suspension | Standard Therapy,No
NCT00511303,University of Bologna,PHASE2,COMPLETED,,STI571,No
NCT05386888,Genfleet Therapeutics (Shanghai) Inc.,PHASE2,COMPLETED,,GFH018 | Toripalimab | Paclitaxel | Carboplatin | Cisplatin | Pemetrexed | Thoracic Radiation Therapy (TRT) | GFH018,No
NCT06212388,Xijing Hospital,EARLY_PHASE1,NOT_YET_RECRUITING,,Ex-vivo expanded allogeneic γδ T cells | Recombinant human interferon α1b | Pembrolizumab,No
NCT05597527,Fujian Cancer Hospital,PHASE2,UNKNOWN,,Fluzopari and apatinib,No
NCT02883361,University of Calgary,"PHASE2, PHASE3",WITHDRAWN,,Motivational enhancement therapy | Attention Control,No
NCT06475261,Fondazione Policlinico Universitario Agostino Gemelli IRCCS,,RECRUITING,,Tissue Oximetry with ForeSight,No
NCT05148442,Innovent Biologics (Suzhou) Co. Ltd.,PHASE1,TERMINATED,,IBI322,No
NCT04342286,Chinese University of Hong Kong,,COMPLETED,,Organoid culture,No
NCT05574673,Nordic Society of Gynaecological Oncology - Clinical Trials Unit,,RECRUITING,,Standard of care,No
NCT03979573,"Heinrich-Heine University, Duesseldorf",NA,UNKNOWN,,Multiparametric MRI | Radiomics | MR-guided Biopsy | Molecular Markers,No
NCT04962269,Peking University Third Hospital,,COMPLETED,,MRI,No
NCT06966583,Sichuan University,PHASE1,NOT_YET_RECRUITING,,NAD supplement | Radiotherapy | Immunotherapy,No
NCT03470805,Grupo Español de Investigación en Cáncer de Ovario,PHASE2,COMPLETED,,Olaparib,No
NCT05601505,Peking Union Medical College Hospital,PHASE2,RECRUITING,,circulating tumor DNA,No
NCT00392366,"BioTex, Inc.",NA,COMPLETED,,MR-guided Laser Interstitial Thermal Therapy System,No
NCT02061956,Sun Yat-sen University,,COMPLETED,,,No
NCT01177956,"Merck KGaA, Darmstadt, Germany",PHASE3,COMPLETED,,Cetuximab | Cisplatin | 5-Fluorouracil,No
NCT06658951,UTC Therapeutics Inc.,NA,RECRUITING,,Anti-HER2 CAR-T cells,Yes
NCT04580251,University Hospital Ostrava,,COMPLETED,,Targeted axillary dissection,No
NCT06843629,"Union Hospital, Tongji Medical College, Huazhong University of Science and Technology",,RECRUITING,,Specific positron imaging agents targeting MSLN,No
NCT07409129,The First Affiliated Hospital of Guangzhou Medical University,NA,NOT_YET_RECRUITING,,Laryngeal Mask Airway | Thoracic Paravertebral Block with Local Anesthetic | Non-intubated Anesthesia | Double-lumen Endotracheal Tube | Chest Tube Drainage,No
NCT02201329,Boehringer Ingelheim,PHASE1,COMPLETED,,Azacitidine | Volasertib,No
NCT05182931,Olivia Newton-John Cancer Research Institute,PHASE2,UNKNOWN,,Dabrafenib 75 MG | Trametinib 2 MG,No
NCT00748631,Assistance Publique - Hôpitaux de Paris,NA,TERMINATED,,balloon kyphoplasty,No
NCT03465553,IRCCS Azienda Ospedaliero-Universitaria di Bologna,NA,COMPLETED,,Short course radiotherapy,No
NCT06914245,KU Leuven,NA,RECRUITING,,"Electronic bowel diary | Faecal Incontinence Quality of Life questionnaire (FIQL) | EuroQoL 5 dimensions, 5 levels (EQ-5D-5L)",No
NCT01047345,Merck Sharp & Dohme LLC,PHASE3,COMPLETED,,V503 | Placebo to V503,No
NCT02958397,"Southwest Hospital, China","PHASE1, PHASE2",UNKNOWN,,Anti-CD33-CAR-transduced T cells,Yes
NCT05677113,Sunnybrook Health Sciences Centre,PHASE2,ACTIVE_NOT_RECRUITING,,QBECO | Placebo,No
NCT07061210,Fudan University,PHASE2,NOT_YET_RECRUITING,,HRS-2189 | Adebrelimab | BP102,No
NCT03516760,AvenCell Europe GmbH,PHASE1,TERMINATED,,GEM333,No
NCT00710710,Boehringer Ingelheim,PHASE2,COMPLETED,,BI 2536,No
NCT05632913,Alpha Tau Medical LTD.,NA,RECRUITING,,Radiation: Diffusing Alpha Radiation Emitters Therapy (DaRT),No
NCT05328960,Sahlgrenska University Hospital,,UNKNOWN,,Diagnosed during or not during the pandemic,No
NCT06492460,Sun Yat-sen University,PHASE3,RECRUITING,,Drug：Cisplatin,No
NCT05313282,Sun Yat-sen University,PHASE3,UNKNOWN,,Hepatic Arterial Infusion combined with Apatinib and Camrelizumab | Apatinib combined with Camrelizumab,No
NCT01379482,Uppsala University,PHASE2,COMPLETED,,Multimodal treatment,No
NCT04457882,Shanghai East Hospital,NA,UNKNOWN,,Intraperitoneal Laparoscopic Radical Prostatectomy Without Drainage Tube | Intraperitoneal Laparoscopic Radical Prostatectomy With Drainage Tube,No
NCT01150682,Gynecologic Oncology Group,,UNKNOWN,,RNA analysis | reverse transcriptase-polymerase chain reaction | enzyme-linked immunosorbent assay | immunohistochemistry staining method | laboratory biomarker analysis,No
NCT01928524,Per Pfeiffer,PHASE1,COMPLETED,,DOS2w Dose level 1A | DOS2w Dose level 2A | DOS2w Dose level 3A | DOS2w Dose level 4A | DOS3w Dose level 1B | DOS3w Dose level 2B | DOS3w Dose level 3B,No
NCT05606523,Genton Graf Laurence,,RECRUITING,,,No
NCT07478523,"University Hospital, Bordeaux",PHASE2,NOT_YET_RECRUITING,,TEP-TDM au 68Ga-FAPI-46,No
NCT00003859,Societe Internationale d'Oncologie Pediatrique,PHASE3,COMPLETED,,carboplatin | cyclophosphamide | etoposide | vincristine sulfate | surgical procedure | radiation therapy,No
NCT03627559,Oslo University Hospital,,COMPLETED,,Pancreaticoduodenectomy microdialysis catheter analyses,No
NCT02837679,Aarhus University Hospital,NA,UNKNOWN,,Geriatric Follow up,No
NCT04759846,Pierre Fabre Medicament,PHASE1,WITHDRAWN,,Encorafenib + Binimetinib | Encorafenib + Binimetinib | Encorafenib + Binimetinib,No
NCT04484246,Assistance Publique Hopitaux De Marseille,,COMPLETED,,Prevalence of sarcopenia in older patient with prostate cancer,No
NCT01854203,Sun Yat-sen University,"PHASE2, PHASE3",UNKNOWN,,Inductive chemotherapy + concurrent cisplatin and IMRT | Inductive chemotherapy + IMRT,No
NCT04543903,Alpha Tau Medical LTD.,NA,COMPLETED,,Radiation: Diffusing Alpha Radiation Emitters Therapy (DaRT),No
NCT01678027,"National Cancer Center, Korea",PHASE3,ACTIVE_NOT_RECRUITING,,Placebo | LAC triple therapy,No
NCT03967327,Mundipharma (China) Pharmaceutical Co. Ltd,PHASE3,UNKNOWN,,Buprenorphine transdermal patches | Morphine Sulfate Sustained-Release Tablet,No
NCT02435927,"National Cancer Centre, Singapore",PHASE1,UNKNOWN,,"ASLAN001+ CAPOX (Oxaliplatin, capecitabine) | ASLAN001 + mFolfox6 (5-FU, leucovorin)",No
NCT03897127,University of Ulm,PHASE3,ACTIVE_NOT_RECRUITING,,Cytarabine | Daunorubicin | CPX-351,No
NCT07136727,The First Affiliated Hospital of Xinxiang Medical College,NA,NOT_YET_RECRUITING,,AI-assisted comprehensive management system,No
NCT00082927,Cancer Research UK,PHASE3,COMPLETED,,ibandronate sodium,No
NCT05799027,China-Japan Friendship Hospital,NA,UNKNOWN,,Raman spectrum,No
NCT00155727,National Taiwan University Hospital,,UNKNOWN,,,No
NCT04763642,State Budget Public Health Institution Scientific Research Institute - Ochapovsky Regional Clinical Hospital,NA,COMPLETED,,pancreaticoduodenectomy,No
NCT00172042,Novartis Pharmaceuticals,PHASE3,COMPLETED,,Zoledronic acid 4 mg,No
NCT07462442,"Qilu Pharmaceutical Co., Ltd.",PHASE1,NOT_YET_RECRUITING,,QLS5308 IV infusion,No
NCT05881070,Universitas Muhammadiyah Yogyakarta,NA,UNKNOWN,,Mobile-health self management,No
NCT06868394,Suez Canal University,,COMPLETED,,radiotherapy | No intervention,No
NCT07180966,Ruijin Hospital,,ACTIVE_NOT_RECRUITING,,,No
NCT04974866,Qingdao Central Hospital,PHASE2,RECRUITING,,EGFR-TK Inhibitor,No
NCT06397222,Second Affiliated Hospital of Guangzhou Medical University,PHASE2,RECRUITING,,Sin-Bev-SIRT,No
NCT07194551,University of British Columbia,NA,RECRUITING,,"Vaginal DNA swab, microbiome swab and pH test",No
NCT06415929,Centre Hospitalier Universitaire de Nice,,COMPLETED,,,No
NCT04198402,Assistance Publique - Hôpitaux de Paris,,UNKNOWN,,Biological sampling,No
NCT05036902,Singapore General Hospital,,COMPLETED,,,No
NCT03431753,Aarhus University Hospital,NA,UNKNOWN,,"PSA, STHLM3 and mpMRI for PC detection",No
NCT05579353,Jingbo Chen,,RECRUITING,,nothing,No
NCT02723253,IRCCS Azienda Ospedaliero-Universitaria di Bologna,PHASE2,COMPLETED,,Radiotherapy | Tom-OX,No
NCT02236637,"Janssen Pharmaceutica N.V., Belgium",,COMPLETED,,,No
NCT04683445,Sun Yat-Sen Memorial Hospital of Sun Yat-Sen University,,UNKNOWN,,Eribulin | Trastuzumab | pertuzumab | Pyrotinib | Pembrolizumab | Camerlizumab,No
NCT02551237,UNICANCER,PHASE3,COMPLETED,,50 Gy | Capecitabine | 25 Gy,No
NCT00313872,Samsung Medical Center,PHASE3,COMPLETED,,DP | FOLFIRI,No
NCT07459595,Fatima Tariq,PHASE1,NOT_YET_RECRUITING,,Myoinositol | Metformin,No
NCT05890339,Sun Yat-Sen Memorial Hospital of Sun Yat-Sen University,NA,NOT_YET_RECRUITING,,Laparoscopic Proximal Gastrectomy With Double-flap Technique | Laparoscopic Total Gastrectomy With Roux-en-Y Reconstruction,No
NCT00967239,NSABP Foundation Inc,,UNKNOWN,,DNA analysis | polymorphism analysis | laboratory biomarker analysis | pharmacogenomic studies,No
NCT03798977,Centre Hospitalier Universitaire de Nice,,COMPLETED,,,No
NCT02215577,Regionalt Cancercentrum Väst,NA,UNKNOWN,,In-situ split | Portal embolization or ligation,No
NCT05680077,"Wuhan Ammunition Life-tech Co., Ltd",,COMPLETED,,KCNA3 and OTOP2 Gene Methylation Combined Detection Kit (Fluorescent PCR Method),No
NCT06752239,Jiangxi Provincial Cancer Hospital,PHASE3,RECRUITING,,Modified delineation | Standard delineation,No
NCT07008339,Germans Trias i Pujol Hospital,NA,RECRUITING,,Areola Micropigmentation | Hyaluronic Acid Filler Injection,No
NCT03880877,Kaohsiung Medical University Chung-Ho Memorial Hospital,PHASE2,UNKNOWN,,Regorafenib | UGT1A1 genotyping (TA6/TA6) | UGT1A1 genotyping (TA6/TA7) | UGT1A1 genotyping (TA7/TA7) | Leucovorin and 5-FU,No
NCT05902377,Peking Union Medical College Hospital,PHASE2,UNKNOWN,,68Ga-NY104 PET/CT,No
NCT06899477,Dominik Paul Modest,PHASE3,NOT_YET_RECRUITING,,mFOLFOXIRI | mFOLFOX-6 | CAPOX,No
NCT04770675,Qmed Consulting A/S,,COMPLETED,,Bronchoscopy,No
NCT05615857,Hopital Montfort,NA,COMPLETED,,Use of Endocuff during colonoscopy,No
NCT06326957,King's College Hospital NHS Trust,NA,RECRUITING,,SELF-BREATHE,No
NCT03611712,PhytoHealth Corporation,PHASE2,COMPLETED,,Astragalus Polysaccharides 500 mg,No
NCT00724581,Aarhus University Hospital,PHASE4,UNKNOWN,,Amiodarone,No
NCT05824481,Sun Yat-sen University,PHASE2,ACTIVE_NOT_RECRUITING,,Cadonilimab | Lenvatinib,No
NCT01853228,"Janssen Research & Development, LLC","PHASE1, PHASE2",TERMINATED,,Phase1 and Phase 2: decitabine | Phase 1: cytarabine | Phase 2: cytarabine,No
NCT02308865,"University Hospital, Lille",NA,TERMINATED,,multi disciplinary palliative care monthly consultations,No
NCT04903665,Fudan University,,UNKNOWN,,Multi-cancer early detection test,No
NCT01431365,"University of Western Ontario, Canada",NA,COMPLETED,,Moderate Exercise Group | Passive Sitting Group,No
NCT03016000,"Nanfang Hospital, Southern Medical University",PHASE3,UNKNOWN,,Thalidomide | Observation,No
NCT05419700,Takeda,,COMPLETED,,,No
NCT01967407,University of Magdeburg,"PHASE1, PHASE2",UNKNOWN,,Irreversible Electroporation (IRE),No
NCT05832892,Shanghai Zhongshan Hospital,"PHASE1, PHASE2",UNKNOWN,,surufatinib | KN046 | gemcitabine | Nab paclitaxel,No
NCT06371807,Fundacao Champalimaud,PHASE2,NOT_YET_RECRUITING,,Pembrolizumab injection,No
NCT05610592,Sun Yat-sen University,,COMPLETED,,total mesorectal exicision,No
NCT07156136,Immunocore Ltd,PHASE1,RECRUITING,,IMC-P115C,No
NCT00693836,Cancer Research Centre at Weston Park Hospital,,UNKNOWN,,genetic linkage analysis | loss of heterozygosity analysis | mutation analysis | polymerase chain reaction | polymorphism analysis | biologic sample preservation procedure | medical chart review | questionnaire administration | evaluation of cancer risk factors,No
NCT07420036,Zhongnan Hospital,EARLY_PHASE1,NOT_YET_RECRUITING,,68Ga-SFB6-ZN01,No
NCT02444936,Louis Stokes VA Medical Center,PHASE4,UNKNOWN,,ZOSTAVAX,No
NCT03387436,PD. Dr. med. Carola Seifart,NA,UNKNOWN,,Sham-Intervention | Study-Intervention,No
NCT01198236,Zhejiang University,PHASE4,COMPLETED,,Itraconazole,No
NCT05427136,University Children's Hospital Basel,,RECRUITING,,"Lung function measurements | Breath Analysis | Magnetic resonance imaging (MRI) | Standardized interview to assess respiratory symptoms | Data collection for assessment of clinical parameters and cumulative doses to chemotherapy, radiation, surgery and HSCT | Collection of genetic samples",No
NCT06914661,The First Hospital of Jilin University,,ENROLLING_BY_INVITATION,,,No
NCT03105570,Peking University People's Hospital,NA,UNKNOWN,,Areola Sparing Mastectomy,No
NCT05243173,RenJi Hospital,,UNKNOWN,,Sequencing,No
NCT05039983,Shandong Cancer Hospital and Institute,PHASE1,COMPLETED,,EGCG,No
NCT00489983,Eli Lilly and Company,PHASE2,COMPLETED,,pemetrexed | gemcitabine,No
NCT03015883,Alpha Tau Medical LTD.,NA,COMPLETED,,Diffusing Alpha Radiation Emitters Therapy (DaRT),No
NCT06902441,"University Hospital, Caen",,COMPLETED,,,No
NCT07306741,Menoufia University,NA,RECRUITING,,Cognitive-targeted prostate biopsy,No
NCT00152841,"University Health Network, Toronto",PHASE2,TERMINATED,,Iron supplement 300-600 mg/day | Vitamin E 800IU,No
NCT04375566,Maastricht University,,UNKNOWN,,Patient Decision Aid,No
NCT05448222,First Affiliated Hospital of Wenzhou Medical University,,UNKNOWN,,Diagnostic Test: gait speed; ct scan; grip strength and chair stand test,No
NCT06509022,"Cancer Institute and Hospital, Chinese Academy of Medical Sciences",,ENROLLING_BY_INVITATION,,PEPTEST test,No
NCT07159451,"Gustave Roussy, Cancer Campus, Grand Paris",PHASE2,RECRUITING,,Elacestrant | Leuprorelin,No
NCT04159051,"Charite University, Berlin, Germany",NA,UNKNOWN,,Regional Hyperthermia,No
NCT04454151,Tel-Aviv Sourasky Medical Center,PHASE4,UNKNOWN,,Azithromycin Tablets,No
NCT02942329,The Affiliated Hospital of the Chinese Academy of Military Medical Sciences,"PHASE1, PHASE2",UNKNOWN,,apatinib | SHR-1210,No
NCT07331129,"National Cancer Institute, Egypt",NA,RECRUITING,,transversalis fascia plane block and surgical sit local anesthetic infiltration,No
NCT06863831,"Cancer Institute and Hospital, Chinese Academy of Medical Sciences",NA,ENROLLING_BY_INVITATION,,Yishen Qutong Granules | Yishen Qutong Simulant Granules,No
NCT07287202,Sovargen,"PHASE1, PHASE2",NOT_YET_RECRUITING,,SVG103,No
NCT00236002,Canadian Urology Research Consortium,PHASE3,TERMINATED,,Alendronate,No
NCT00943553,Eisai Inc.,PHASE2,WITHDRAWN,,decitabine Induction Chemotherapy | Induction Chemotherapy,No
NCT04199637,National Yang Ming Chiao Tung University,NA,COMPLETED,,TVG,No
NCT05547737,Henan Cancer Hospital,,UNKNOWN,,Camrelizumab,No
NCT05771337,Assiut University,,UNKNOWN,,blood sample,No
NCT03030937,Fujian Cancer Hospital,PHASE2,UNKNOWN,,Apatinib | Irinotecan,No
NCT02127645,European Association for Endoscopic Surgery,PHASE3,COMPLETED,,SRT-TEM | LRT-TEM | Transanal Endoscopic Microsurgery (TEM) | Total Mesorectal Excision (TME),No
NCT00049595,European Organisation for Research and Treatment of Cancer - EORTC,PHASE3,COMPLETED,,bleomycin sulfate | filgrastim | pegfilgrastim | ABVD regimen | BEACOPP regimen | cyclophosphamide | dacarbazine | doxorubicin hydrochloride | etoposide | prednisone | procarbazine hydrochloride | vinblastine sulfate | vincristine sulfate,No
NCT04164095,RenJi Hospital,NA,UNKNOWN,,lappg,No
NCT00496275,"Genzyme, a Sanofi Company",PHASE1,COMPLETED,,Zactima (ZD6474) | Vinorelbine plus cisplatin | Gemcitabine plus cisplatin,No
NCT00093457,NCIC Clinical Trials Group,PHASE2,COMPLETED,,sorafenib tosylate,No
NCT07023601,Hospital Universitario La Paz,NA,ENROLLING_BY_INVITATION,,Sentinel Lymph Node Biopsy in first local recurrent vulvar carcinoma,No
NCT04621201,Azienda Ospedaliera Ospedale Infantile Regina Margherita Sant'Anna,,RECRUITING,,observation and biopsy,No
NCT05694312,Gruppo Italiano Malattie EMatologiche dell'Adulto,PHASE2,RECRUITING,,Ibrutinib 420 mg,No
NCT03377881,Karolinska Institutet,NA,ACTIVE_NOT_RECRUITING,,MRI/Fusion biopsies | Systematic biopsies,No
NCT00699881,Fudan University,PHASE2,COMPLETED,,cetuximab,No
NCT01792557,S.B. Konya Education and Research Hospital,NA,UNKNOWN,,Crystallized phenol | Limberg Flap | Modified Limberg Flap | Karydakis Flap,No
NCT03879057,Peking University,PHASE1,UNKNOWN,,Surufatinib/humanized anti-PD-1 monoclonal antibody,No
NCT07179757,Tata Memorial Hospital,,RECRUITING,,,No
NCT02339701,Chinese University of Hong Kong,NA,ACTIVE_NOT_RECRUITING,,IMRT | SBRT,No
NCT03279601,Peking University,PHASE2,UNKNOWN,,"Capecitabine, Dacarbazine | Capecitabine, Temozolomide",No
NCT05152212,Lyvgen Biopharma Holdings Limited,PHASE1,COMPLETED,,LVGN7409,No
NCT03806712,Centre Hospitalier Universitaire de Besancon,,COMPLETED,,"multi method questionary (developped by De Rosa, in 1995 and 2014)",No
NCT02350712,Daiichi Sankyo,PHASE1,COMPLETED,,Patritumab | Cetuximab | Cisplatin | Carboplatin,No
NCT01785212,Medical University of Vienna,NA,COMPLETED,,"Stapler | CUSA (Cavitron ultrasonic aspirator; Valleylab, Boulder, CO)",No
NCT02228330,Rabin Medical Center,NA,UNKNOWN,,obturator nerve block,No
NCT02774369,CHU de Quebec-Universite Laval,NA,COMPLETED,,Physical exercise | Cognitive-behavioral therapy,No
NCT06438783,"Chia Tai Tianqing Pharmaceutical Group Nanjing Shunxin Pharmaceutical Co., Ltd.",PHASE1,TERMINATED,,1200mg of TQB2928 injection+Anlotinib | 1800mg of TQB2928 injection+Anlotinib,No
NCT03307941,Jules Bordet Institute,"PHASE1, PHASE2",WITHDRAWN,,Monalizumab | Oxaliplatin | 5-Fluorouracil | Metabolic | Metabolic | Surgery,No
NCT00979641,Tampere University Hospital,PHASE2,TERMINATED,,Docetaxel,No
NCT07476105,Fondazione Italiana Linfomi - ETS,NA,NOT_YET_RECRUITING,,Geriatric-guided supportive care | Conventional supportive care,No
NCT05925166,Lihua Duan,NA,NOT_YET_RECRUITING,,rhTNFR-Fc | Triamcinolone Acetonide,No
NCT05411666,Clinical Academic Center (2CA-Braga),NA,RECRUITING,,Saline solution maintenance of the CVC | No maintenance of the CVC,No
NCT04197856,Umeå University,NA,ACTIVE_NOT_RECRUITING,,Standard care encouraging family-mediated disclosure of hereditary cancer risk | Offer of health-care assisted disclosure by sending direct letters to at-risk relatives,No
NCT00056056,European Organisation for Research and Treatment of Cancer - EORTC,PHASE3,TERMINATED,,bexarotene | methoxypsoralen | UV light therapy,No
NCT03431922,Zhongda Hospital,NA,UNKNOWN,,endovascular denervation,No
NCT04351022,The First Affiliated Hospital of Soochow University,"PHASE1, PHASE2",UNKNOWN,,CART-38,No
NCT04933422,Crimson Biopharm Inc.,PHASE1,NOT_YET_RECRUITING,,CM93,No
NCT03035422,"Association for Training, Education, and Research in Hematology, Immunology, and Transplantation",NA,COMPLETED,,Sequential Packaging (SET) | Transfusion graft | Prevention of GVHD | Care supports | Lymphocyte injection of prophylactic donor (PDLI),No
NCT05779631,Radboud University Medical Center,NA,RECRUITING,,mpMRI plus a same-day cystoscopic bladder biopsy | TURBT,No
NCT01667302,Fudan University,PHASE2,UNKNOWN,,Radiotherapy followed by chemotherapy,No
NCT03800953,National Taiwan University Hospital,PHASE2,UNKNOWN,,Avelumab,No
NCT02621437,Hospices Civils de Lyon,NA,COMPLETED,,Osteopathy sessions | phone questionnaires,No
NCT05352737,KU Leuven,,COMPLETED,,methylmalonic acid testing,No
NCT06275737,GERCOR - Multidisciplinary Oncology Cooperative Group,NA,RECRUITING,,Prehabilitation program,No
NCT01773837,"Clinica Universidad de Navarra, Universidad de Navarra",PHASE3,TERMINATED,,methylphenidate | placebo,No
NCT03891472,Medical University of Silesia,PHASE2,COMPLETED,,"Patients will receive initial chemotherapy, followed by evaluation of the response to the treatment, followed by SBRT, followed by chemotherapy.",No
NCT00216372,Ipsen,PHASE3,COMPLETED,,Lanreotide (microparticle formulation) | Placebo,No
NCT06718972,Guangzhou Medical University,,RECRUITING,,Not applicable- observational study,No
NCT02066272,Maria Sklodowska-Curie National Research Institute of Oncology,,UNKNOWN,,,No
NCT03349372,Hospices Civils de Lyon,,COMPLETED,,Hematopoietic stem cell transplantation,No
NCT00633295,Novartis Pharmaceuticals,PHASE2,COMPLETED,,AMN107- NILOTINIB,No
NCT03175939,Sun Yat-sen University,PHASE2,COMPLETED,,Radiotherapy | Cisplatin | 5-FU,No
NCT05336539,Singlera Genomics Inc.,,RECRUITING,,,No
NCT07463677,Sun Yat-sen University,PHASE2,NOT_YET_RECRUITING,,Tunlametinib + Cetuximab β | Tunlametinib + Fulzerasib,No
NCT06115577,Pirogov Russian National Research Medical University,,COMPLETED,,endometrial tissue and peripheral blood mononuclear cells receptivity,No
NCT01031875,"Fondazione IRCCS Istituto Nazionale dei Tumori, Milano",PHASE2,COMPLETED,,pazopanib hydrochloride | fludeoxyglucose F 18,No
NCT01506375,BioTech Tools S.A.,PHASE2,COMPLETED,,gpASIT+TM | gpASIT+TM + adjuvant,No
NCT03440957,Hospices Civils de Lyon,NA,COMPLETED,,Osteopathic treatment,No
NCT00285701,Photocure,"PHASE1, PHASE2",COMPLETED,,hexaminolevulinate,No
NCT01376401,PETHEMA Foundation,PHASE2,COMPLETED,,Bendamustine | Velcade | Prednisone,No
NCT04601181,"Fundamenta Therapeutics, Ltd.",PHASE1,UNKNOWN,,ThisCART22 cells injection,No
NCT07379281,Qilu Hospital of Shandong University,,RECRUITING,,Organoid culture,No
NCT06233981,"Cancer Institute and Hospital, Chinese Academy of Medical Sciences",PHASE2,UNKNOWN,,Moderate-dose Hypofractionated Intensity-modulated Radiotherapy | Tislelizumab,No
NCT04888481,University of Alberta,PHASE2,RECRUITING,,68Ga-HA-DOTATATE,No
NCT02882581,Aarhus University Hospital,PHASE1,COMPLETED,,11C-metformin,No
NCT07158619,Medical University of Warsaw,NA,NOT_YET_RECRUITING,,OIT with cashew nut protein,No
NCT03596619,Shanghai Dermatology Hospital,NA,UNKNOWN,,PBN,No
